item,itemLabel,startDate,endDate,sourceDate,psid
Q4149622,Гриневецький Сергій Рафаїлович,1998-05,2005-02,2022-04-13,Q4149622-0BD575A0-215C-4CE3-878F-D72C21C06C06
Q1551591,Цушко Василь Петрович,2005-02,2006-05,2022-04-13,Q1551591-F8D06BEE-7A6E-48F7-9A0E-E695BD829BED
Q47489765,Звягінцев Борис Григорович,2006-05,2006-08,2022-04-13,Q47489765-9CEB7A0F-A87B-42CF-9EB7-F52E78567C9D
Q3622828,Плачков Іван Васильович,2006-08,2007-11,2022-04-13,Q3622828-C9C430F1-ADDB-4701-AAB0-A3D9BAB990C5
Q12152289,Сердюк Микола Дмитрович,2007-11,2010-03,2022-04-13,Q12152289-EAC465D8-B262-44E1-B12E-5E41B26B8E56
Q4284684,Матвійчук Едуард Леонідович,2010-03,2013-11,2022-04-13,Q4284684-2720E2C1-0DCD-4803-91FA-88519191599E
Q15235100,Скорик Микола Леонідович,2013-11,2014-03,2022-04-13,Q15235100-4ADF40E2-58A3-4602-9B1C-437DB6EB0FFC
Q15899607,Немировський Володимир Леонідович,2014-03,2014-05,2022-04-13,Q15899607-1D63CDA8-7263-46BE-80A0-84784581BDC8
Q11711558,Палиця Ігор Петрович,2014-05,2015-05-30,2022-04-13,Q11711558-7F9F9457-5C95-4247-BF92-CFCAA3681A63
Q43330,Саакашвілі Міхеїл Ніколозович,2015-05-30,2016-11-09,,Q43330-7C63B85E-B1BE-441C-A1A6-804ED6C3098A
Q47489760,Бобровська Соломія Анатоліївна,2016-11-09,2017-01-12,2022-04-13,Q47489760-568F18E8-FAA8-4C90-90F5-CA8B32A03A12
Q28665698,Степанов Максим Володимирович,2017-01-12,2019-04-10,,Q28665698-96B819C5-5CE2-4C92-8227-7E6D445B01D4
Q63033291,Паращенко Сергій Володимирович,2019-04-10,2019-06-11,,Q63033291-105C7D2A-354A-4682-9076-F83441860DB8
Q64626586,Шаталова Світлана Миколаївна,2019-06-14,2019-10-11,,Q64626586-040033B5-6217-41B2-BDFB-800C61E5767B
Q70514969,Куций Максим Васильович,2019-10-11,2020-11-05,2022-04-13,Q70514969-F445E0FD-850A-4912-B2CB-D7BDBB5F4769
Q105098172,Овечкін В'ячеслав Ігорович,2020-11-09,2020-11-27,2022-04-13,Q105098172-5FC33C26-3CCD-4113-B4CC-EF9849497FE3
Q4149622,Гриневецький Сергій Рафаїлович,2020-11-27,2022-03-01,2022-04-13,Q4149622-89574BEA-CDD0-40C1-BF88-B9E6196A77D3
Q65206917,Марченко Максим Михайлович,2022-03-01,,2022-04-13,Q65206917-87CC65D9-0566-43BD-A47C-C2F47CC93F09
